RA,FASE,TURMA,NOME,INSTITUICAO_ENSINO_ALUNO,PEDRA,INDE,REC_AVAL_1,REC_AVAL_2,REC_AVAL_3,REC_AVAL_4,REC_PSICO,NIVEL_IDEAL,DEFASAGEM,DESTAQUE_IEG,DESTAQUE_IDA,DESTAQUE_IPV,ANO_BASE,IDADE_ALUNO_MISSING,INDE_MISSING,CG_MISSING,CF_MISSING,CT_MISSING,QTDE_AVAL_MISSING,IAA_MISSING,IEG_MISSING,IPS_MISSING,IDA_MISSING,NOTA_MAT_MISSING,NOTA_PORT_MISSING,NOTA_ING_MISSING,IPV_MISSING,IPP_MISSING,INSTITUICAO_ENSINO_ALUNO_MISSING,PEDRA_MISSING,REC_AVAL_1_MISSING,REC_AVAL_2_MISSING,REC_AVAL_3_MISSING,REC_AVAL_4_MISSING,REC_PSICO_MISSING,DESTAQUE_IEG_MISSING,DESTAQUE_IDA_MISSING,DESTAQUE_IPV_MISSING,ALTO_INDE,CAT_IDADE_ALUNO,CAT_ANO_INGRESSO,CAT_CG,CAT_CF,CAT_CT,CAT_QTDE_AVAL,CAT_IAA,CAT_IEG,CAT_IPS,CAT_IDA,CAT_NOTA_MAT,CAT_NOTA_PORT,CAT_NOTA_ING,CAT_IPV,CAT_IAN,CAT_IPP,CAT_PEDRA_ORDINAL,CAT_NOTA_MEDIA,CAT_TEMPO_PM,DEFASADO
RA-385,2,I,Aluno-385,Escola Pública,Ágata,6.083,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 3 (7º e 8º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,1,2,1,2,1,4,1,1,1,2,1,2,1,1
RA-386,2,I,Aluno-386,Escola Pública,Ágata,6.104,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 3 (7º e 8º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,2,2,2,5,1,2,1,1,1,1,2,1,2,1,1,3,1
RA-387,2,I,Aluno-387,Escola Pública,Ágata,6.323,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,2,2,2,1,2,3,1,1,2,1,1,1,2,1,1,3,1
RA-388,2,I,Aluno-388,Escola Pública,Ágata,6.654,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 4 (9º ano),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,2,2,2,2,3,2,1,1,2,1,3,1,2,1,2,3,1
RA-389,2,I,Aluno-389,Escola Pública,Ametista,7.184,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,2,1,1,2,2,3,3,1,1,1,1,3,2,2,2,1,3,0
RA-390,2,I,Aluno-390,Escola Pública,Ágata,6.776,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,1,2,1,3,2,1,1,2,1,3,1,2,1,2,1,1
RA-391,2,J,Aluno-391,Escola Pública,Ametista,7.117,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,DESCONHECIDO,Sem limitações,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,1,2,5,2,3,2,2,2,1,4,1,2,2,2,1,1
RA-392,2,J,Aluno-392,Escola Pública,Ágata,6.418,Mantido na Fase atual,Mantido na Fase atual,Promovido de Fase,DESCONHECIDO,Não indicado,Fase 4 (9º ano),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2,2,1,2,4,3,2,1,1,2,1,1,1,2,1,2,1,1
RA-393,2,J,Aluno-393,Escola Pública,Quartzo,5.518,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,DESCONHECIDO,Não indicado,Fase 6 (2º EM),-4,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,2,2,2,2,5,1,1,1,2,1,1,1,1,2,1,2,4,1
RA-394,2,J,Aluno-394,Escola Pública,Ametista,7.897,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,1,1,2,4,3,3,2,1,4,1,5,2,2,2,2,1,0
RA-395,2,J,Aluno-395,Escola Pública,Ametista,7.683,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2,3,3,3,2,1,2,1,4,2,2,2,2,4,0
RA-396,2,J,Aluno-396,Escola Pública,Ágata,6.556,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,1,2,3,2,2,2,2,3,1,1,1,2,1,2,1,1
RA-397,2,J,Aluno-397,Escola Pública,Quartzo,5.852,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,DESCONHECIDO,Requer avaliação,Fase 4 (9º ano),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,2,1,2,3,1,3,1,1,1,1,2,1,2,1,1,4,1
RA-398,2,K,Aluno-398,Escola Pública,Ametista,7.742,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,1,1,1,2,3,4,3,2,1,4,1,3,2,2,2,2,1,0
RA-399,2,K,Aluno-399,Escola Pública,Ágata,6.58,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,1,4,2,1,1,2,1,3,1,2,1,1,1,1
RA-400,2,K,Aluno-400,Escola Pública,Ágata,6.042,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 4 (9º ano),-2,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,2,2,2,3,3,1,1,1,1,1,2,1,2,1,1,4,1
RA-401,2,K,Aluno-401,Escola Pública,Ágata,6.645,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,2,2,1,5,3,1,1,1,1,1,1,2,1,1,1,1
RA-402,2,K,Aluno-402,Escola Pública,Quartzo,5.261,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 3 (7º e 8º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,2,2,3,1,1,1,1,1,1,2,1,2,1,1,3,1
RA-403,2,K,Aluno-403,Escola Pública,Ametista,7.455,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2,4,4,3,3,3,2,1,3,1,2,2,3,2,1
RA-404,2,K,Aluno-404,Escola Pública,Ágata,6.658,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 3 (7º e 8º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,2,2,2,2,3,2,3,2,1,3,1,2,1,2,1,2,2,1
RA-405,2,K,Aluno-405,Escola Pública,Quartzo,5.661,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 3 (7º e 8º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,2,2,2,4,1,1,1,1,1,1,1,1,2,1,1,4,1
RA-406,2,K,Aluno-406,Escola Pública,Ametista,7.496,Mantido na Fase atual,Promovido de Fase,Promovido de Fase,DESCONHECIDO,Sem limitações,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,1,1,1,1,2,4,4,3,3,2,4,1,2,1,2,2,3,3,1
RA-407,2,K,Aluno-407,Escola Pública,Ametista,7.195,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,2,1,1,2,2,4,3,2,1,4,1,2,1,2,2,2,1,1
RA-408,2,K,Aluno-408,Escola Pública,Ágata,6.725,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,1,2,2,5,3,1,1,2,1,2,1,2,1,1,1,1
RA-409,2,K,Aluno-409,Escola Pública,Topázio,8.15,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 2 (5º e 6º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,1,1,2,2,5,3,4,2,5,1,3,2,2,3,4,1,0
RA-410,2,K,Aluno-410,Escola Pública,Quartzo,5.675,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 4 (9º ano),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,2,2,2,1,1,2,1,1,1,1,2,1,2,1,1,4,1
RA-411,2,L,Aluno-411,Escola Pública,Ametista,7.232,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,2,2,1,3,3,4,3,4,1,4,1,2,2,4,3,1
RA-412,2,L,Aluno-412,Escola Pública,Ametista,7.556,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,2,2,2,4,3,4,3,4,1,3,1,2,2,4,4,1
RA-413,2,L,Aluno-413,Escola Pública,Ágata,6.408,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,1,3,2,1,1,2,1,2,1,2,1,2,1,1
RA-414,2,L,Aluno-414,Escola Pública,Ametista,7.284,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,2,2,2,4,3,2,2,2,1,3,1,2,2,2,1,1
RA-415,2,L,Aluno-415,Escola Pública,Ametista,7.695,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,2,2,2,3,3,2,2,4,1,4,2,2,2,2,3,0
RA-416,2,L,Aluno-416,Rede Decisão,Ametista,7.913,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2,4,4,5,4,3,4,1,4,1,2,2,4,4,1
RA-417,2,L,Aluno-417,Escola Pública,Topázio,8.428,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,1,1,1,2,5,5,3,4,2,5,1,5,1,2,3,4,1,1
RA-418,2,L,Aluno-418,Rede Decisão,Topázio,8.175,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,2,2,4,3,4,3,5,1,4,2,2,3,4,2,0
RA-419,2,L,Aluno-419,Rede Decisão,Ametista,7.359,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,2,2,1,4,2,3,2,5,1,5,1,2,2,3,3,1
RA-420,2,L,Aluno-420,Rede Decisão,Ametista,7.461,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 2 (5º e 6º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,2,2,4,4,2,1,1,4,1,4,2,2,2,2,3,0
RA-421,2,L,Aluno-421,Escola Pública,Topázio,8.717,Promovido de Fase + Bolsa,Promovido de Fase,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),0,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,1,1,1,1,2,2,4,3,5,5,5,1,5,2,2,3,5,1,0
RA-422,2,L,Aluno-422,Escola Pública,Ágata,6.746,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,5,3,1,1,1,1,3,1,2,1,1,1,1
RA-423,2,L,Aluno-423,Escola Pública,Ágata,6.647,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Sem limitações,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,5,3,1,1,1,1,3,1,2,1,1,1,1
RA-424,2,L,Aluno-424,Escola Pública,Ametista,7.94,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,1,1,2,3,5,3,4,5,1,1,4,1,2,2,4,1,1
RA-425,2,L,Aluno-425,Escola Pública,Topázio,8.117,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,1,1,1,2,3,5,3,5,5,5,1,3,1,2,3,5,1,1
RA-426,2,M,Aluno-426,Escola Pública,Ágata,6.35,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 4 (9º ano),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2,2,2,2,3,1,3,1,1,3,1,2,1,2,1,2,1,1
RA-427,2,M,Aluno-427,Escola Pública,Ágata,6.245,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,2,2,2,2,2,2,3,3,1,1,1,1,1,1,2,1,1,1,1
RA-428,2,M,Aluno-428,Escola Pública,Ametista,7.683,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,1,1,1,2,1,3,3,5,5,5,1,2,1,2,2,5,1,1
RA-429,2,M,Aluno-429,Escola Pública,Quartzo,5.811,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,2,2,2,5,1,3,1,1,1,1,1,1,2,1,1,3,1
RA-430,2,M,Aluno-430,Escola Pública,Ametista,7.585,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 3 (7º e 8º ano),-1,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,1,1,1,2,4,3,3,5,4,5,1,1,1,2,2,5,1,1
RA-431,2,M,Aluno-431,Escola Pública,Ametista,7.175,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Não atendido,Fase 2 (5º e 6º ano),0,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,2,2,2,1,2,3,2,3,1,2,1,1,1,2,2,2,2,1,0
RA-432,2,M,Aluno-432,Escola Pública,Ágata,6.34,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 4 (9º ano),-2,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,2,2,2,2,5,1,1,2,2,1,1,1,1,2,1,2,3,1
RA-433,2,M,Aluno-433,Escola Pública,Quartzo,5.557,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,DESCONHECIDO,Requer avaliação,Fase 3 (7º e 8º ano),-1,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,2022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1
